Model,Marker,N,Events,No SCM HR (95% CI),No SCM P,SCM HR (95% CI),SCM P,Interaction HR (95% CI),LRT P for interaction,AIC,C-index
PNI,"PNI, per 5-point lower","1,976",506,1.18 (1.11-1.25),<0.001,0.96 (0.88-1.06),0.407,0.82 (0.73-0.91),<0.001,7387.8,0.671
Albumin,"Albumin, per 5 g/L lower","1,976",506,1.24 (1.16-1.34),<0.001,1.10 (0.95-1.28),0.204,0.89 (0.75-1.05),0.155,7385.1,0.671
Lymphocyte,"Lymphocyte, per 0.5 x10^9/L lower","1,976",506,1.05 (1.00-1.11),0.038,0.94 (0.89-0.98),0.010,0.89 (0.83-0.95),0.002,7412.3,0.659
Albumin + lymphocyte,"Albumin, per 5 g/L lower","1,976",506,1.23 (1.15-1.33),<0.001,1.12 (0.97-1.31),0.126,0.91 (0.77-1.07),0.267,7381.0,0.672
Albumin + lymphocyte,"Lymphocyte, per 0.5 x10^9/L lower","1,976",506,1.04 (0.99-1.09),0.130,0.93 (0.89-0.98),0.007,0.90 (0.84-0.96),0.004,7381.0,0.672
