Outcome,Contrast,"Risk-difference contrast, percentage points (95% CI)"
28-day mortality,Risk difference in SCM minus risk difference in No SCM,-7.6 (-12.9--1.8)
90-day mortality,Risk difference in SCM minus risk difference in No SCM,-6.9 (-12.5--0.3)
